currency_name,exchange_rate,currency_code,exchange_date,updated_at
Євро,50.4546,EUR,2026-04-01,2026-05-02T19:18:35Z
Фунт стерлінгів,58.1094,GBP,2026-04-01,2026-05-02T19:18:35Z
Ukrainian Hryvnia,1.0,UAH,2026-04-01,2026-05-04T05:25:21Z
Долар США,43.9175,USD,2026-04-01,2026-05-02T19:18:35Z
Євро,50.8208,EUR,2026-04-02,2026-05-02T19:18:35Z
Фунт стерлінгів,58.3226,GBP,2026-04-02,2026-05-02T19:18:35Z
Ukrainian Hryvnia,1.0,UAH,2026-04-02,2026-05-04T05:25:21Z
Долар США,43.7808,USD,2026-04-02,2026-05-02T19:18:35Z
Євро,50.4567,EUR,2026-04-03,2026-05-02T19:18:36Z
Фунт стерлінгів,57.8328,GBP,2026-04-03,2026-05-02T19:18:36Z
Ukrainian Hryvnia,1.0,UAH,2026-04-03,2026-05-04T05:25:21Z
Долар США,43.8144,USD,2026-04-03,2026-05-02T19:18:36Z
Євро,50.4567,EUR,2026-04-04,2026-05-02T19:18:36Z
Фунт стерлінгів,57.8328,GBP,2026-04-04,2026-05-02T19:18:36Z
Ukrainian Hryvnia,1.0,UAH,2026-04-04,2026-05-04T05:25:21Z
Долар США,43.8144,USD,2026-04-04,2026-05-02T19:18:36Z
Євро,50.4567,EUR,2026-04-05,2026-05-02T19:18:36Z
Фунт стерлінгів,57.8328,GBP,2026-04-05,2026-05-02T19:18:36Z
Ukrainian Hryvnia,1.0,UAH,2026-04-05,2026-05-04T05:25:21Z
Долар США,43.8144,USD,2026-04-05,2026-05-02T19:18:36Z
Євро,50.3123,EUR,2026-04-06,2026-05-02T19:18:36Z
Фунт стерлінгів,58.2094,GBP,2026-04-06,2026-05-02T19:18:36Z
Ukrainian Hryvnia,1.0,UAH,2026-04-06,2026-05-04T05:25:21Z
Долар США,43.6549,USD,2026-04-06,2026-05-02T19:18:36Z
Євро,50.321,EUR,2026-04-07,2026-05-02T19:18:36Z
Фунт стерлінгів,57.6975,GBP,2026-04-07,2026-05-02T19:18:36Z
Ukrainian Hryvnia,1.0,UAH,2026-04-07,2026-05-04T05:25:21Z
Долар США,43.5831,USD,2026-04-07,2026-05-02T19:18:36Z
Євро,50.2711,EUR,2026-04-08,2026-05-02T19:18:36Z
Фунт стерлінгів,57.6064,GBP,2026-04-08,2026-05-02T19:18:36Z
Ukrainian Hryvnia,1.0,UAH,2026-04-08,2026-05-04T05:25:21Z
Долар США,43.4946,USD,2026-04-08,2026-05-02T19:18:36Z
Євро,50.758,EUR,2026-04-09,2026-05-02T19:18:36Z
Фунт стерлінгів,58.4144,GBP,2026-04-09,2026-05-02T19:18:36Z
Ukrainian Hryvnia,1.0,UAH,2026-04-09,2026-05-04T05:25:21Z
Долар США,43.3792,USD,2026-04-09,2026-05-02T19:18:36Z
Євро,50.7979,EUR,2026-04-10,2026-05-02T19:18:36Z
Фунт стерлінгів,58.3587,GBP,2026-04-10,2026-05-02T19:18:36Z
Ukrainian Hryvnia,1.0,UAH,2026-04-10,2026-05-04T05:25:21Z
Долар США,43.4653,USD,2026-04-10,2026-05-02T19:18:36Z
Євро,50.7979,EUR,2026-04-11,2026-05-02T19:18:36Z
Фунт стерлінгів,58.3587,GBP,2026-04-11,2026-05-02T19:18:36Z
Ukrainian Hryvnia,1.0,UAH,2026-04-11,2026-05-04T05:25:21Z
Долар США,43.4653,USD,2026-04-11,2026-05-02T19:18:36Z
Євро,50.7979,EUR,2026-04-12,2026-05-02T19:18:36Z
Фунт стерлінгів,58.3587,GBP,2026-04-12,2026-05-02T19:18:36Z
Ukrainian Hryvnia,1.0,UAH,2026-04-12,2026-05-04T05:25:21Z
Долар США,43.4653,USD,2026-04-12,2026-05-02T19:18:36Z
Євро,50.9075,EUR,2026-04-13,2026-05-02T19:18:37Z
Фунт стерлінгів,58.4302,GBP,2026-04-13,2026-05-02T19:18:37Z
Ukrainian Hryvnia,1.0,UAH,2026-04-13,2026-05-04T05:25:21Z
Долар США,43.4587,USD,2026-04-13,2026-05-02T19:18:37Z
Євро,50.752,EUR,2026-04-14,2026-05-02T19:18:37Z
Фунт стерлінгів,58.2927,GBP,2026-04-14,2026-05-02T19:18:37Z
Ukrainian Hryvnia,1.0,UAH,2026-04-14,2026-05-04T05:25:21Z
Долар США,43.4372,USD,2026-04-14,2026-05-02T19:18:37Z
Євро,51.3253,EUR,2026-04-15,2026-05-02T19:18:37Z
Фунт стерлінгів,59.0378,GBP,2026-04-15,2026-05-02T19:18:37Z
Ukrainian Hryvnia,1.0,UAH,2026-04-15,2026-05-04T05:25:21Z
Долар США,43.4997,USD,2026-04-15,2026-05-02T19:18:37Z
Євро,51.2718,EUR,2026-04-16,2026-05-02T19:18:37Z
Фунт стерлінгів,58.9827,GBP,2026-04-16,2026-05-02T19:18:37Z
Ukrainian Hryvnia,1.0,UAH,2026-04-16,2026-05-04T05:25:21Z
Долар США,43.5152,USD,2026-04-16,2026-05-02T19:18:37Z
Євро,51.4216,EUR,2026-04-17,2026-05-02T19:18:37Z
Фунт стерлінгів,59.1148,GBP,2026-04-17,2026-05-02T19:18:37Z
Ukrainian Hryvnia,1.0,UAH,2026-04-17,2026-05-04T05:25:21Z
Долар США,43.6368,USD,2026-04-17,2026-05-02T19:18:37Z
Євро,51.4216,EUR,2026-04-18,2026-05-02T19:18:37Z
Фунт стерлінгів,59.1148,GBP,2026-04-18,2026-05-02T19:18:37Z
Ukrainian Hryvnia,1.0,UAH,2026-04-18,2026-05-04T05:25:21Z
Долар США,43.6368,USD,2026-04-18,2026-05-02T19:18:37Z
Євро,51.4216,EUR,2026-04-19,2026-05-02T19:18:37Z
Фунт стерлінгів,59.1148,GBP,2026-04-19,2026-05-02T19:18:37Z
Ukrainian Hryvnia,1.0,UAH,2026-04-19,2026-05-04T05:25:21Z
Долар США,43.6368,USD,2026-04-19,2026-05-02T19:18:37Z
Євро,51.7667,EUR,2026-04-20,2026-05-02T19:18:37Z
Фунт стерлінгів,59.389,GBP,2026-04-20,2026-05-02T19:18:37Z
Ukrainian Hryvnia,1.0,UAH,2026-04-20,2026-05-04T05:25:21Z
Долар США,43.8943,USD,2026-04-20,2026-05-02T19:18:37Z
Євро,51.8929,EUR,2026-04-21,2026-05-02T19:18:37Z
Фунт стерлінгів,59.6282,GBP,2026-04-21,2026-05-02T19:18:37Z
Ukrainian Hryvnia,1.0,UAH,2026-04-21,2026-05-04T05:25:21Z
Долар США,44.1004,USD,2026-04-21,2026-05-02T19:18:37Z
Євро,51.9113,EUR,2026-04-22,2026-05-02T19:18:37Z
Фунт стерлінгів,59.636,GBP,2026-04-22,2026-05-02T19:18:37Z
Ukrainian Hryvnia,1.0,UAH,2026-04-22,2026-05-04T05:25:21Z
Долар США,44.116,USD,2026-04-22,2026-05-02T19:18:37Z
Євро,51.4974,EUR,2026-04-23,2026-05-02T19:18:38Z
Фунт стерлінгів,59.2522,GBP,2026-04-23,2026-05-02T19:18:38Z
Ukrainian Hryvnia,1.0,UAH,2026-04-23,2026-05-04T05:25:21Z
Долар США,43.8873,USD,2026-04-23,2026-05-02T19:18:38Z
Євро,51.3804,EUR,2026-04-24,2026-05-02T19:18:38Z
Фунт стерлінгів,59.3558,GBP,2026-04-24,2026-05-02T19:18:38Z
Ukrainian Hryvnia,1.0,UAH,2026-04-24,2026-05-04T05:25:21Z
Долар США,43.9412,USD,2026-04-24,2026-05-02T19:18:38Z
Євро,51.3804,EUR,2026-04-25,2026-05-02T19:18:38Z
Фунт стерлінгів,59.3558,GBP,2026-04-25,2026-05-02T19:18:38Z
Ukrainian Hryvnia,1.0,UAH,2026-04-25,2026-05-04T05:25:21Z
Долар США,43.9412,USD,2026-04-25,2026-05-02T19:18:38Z
Євро,51.3804,EUR,2026-04-26,2026-05-02T19:18:38Z
Фунт стерлінгів,59.3558,GBP,2026-04-26,2026-05-02T19:18:38Z
Ukrainian Hryvnia,1.0,UAH,2026-04-26,2026-05-04T05:25:21Z
Долар США,43.9412,USD,2026-04-26,2026-05-02T19:18:38Z
Євро,51.5484,EUR,2026-04-27,2026-05-02T19:18:38Z
Фунт стерлінгів,59.3789,GBP,2026-04-27,2026-05-02T19:18:38Z
Ukrainian Hryvnia,1.0,UAH,2026-04-27,2026-05-04T05:25:21Z
Долар США,44.0039,USD,2026-04-27,2026-05-02T19:18:38Z
Євро,51.761,EUR,2026-04-28,2026-05-02T19:18:38Z
Фунт стерлінгів,59.772,GBP,2026-04-28,2026-05-02T19:18:38Z
Ukrainian Hryvnia,1.0,UAH,2026-04-28,2026-05-04T05:25:21Z
Долар США,44.0894,USD,2026-04-28,2026-05-02T19:18:38Z
Євро,51.4999,EUR,2026-04-29,2026-05-02T19:18:38Z
Фунт стерлінгів,59.3582,GBP,2026-04-29,2026-05-02T19:18:38Z
Ukrainian Hryvnia,1.0,UAH,2026-04-29,2026-05-04T05:25:21Z
Долар США,44.0735,USD,2026-04-29,2026-05-02T19:18:38Z
Євро,51.5803,EUR,2026-04-30,2026-05-02T19:18:38Z
Фунт стерлінгів,59.5371,GBP,2026-04-30,2026-05-02T19:18:38Z
Ukrainian Hryvnia,1.0,UAH,2026-04-30,2026-05-04T05:25:21Z
Долар США,44.082,USD,2026-04-30,2026-05-02T19:18:38Z
Євро,51.4587,EUR,2026-05-01,2026-05-02T19:18:38Z
Фунт стерлінгів,59.4204,GBP,2026-05-01,2026-05-02T19:18:38Z
Ukrainian Hryvnia,1.0,UAH,2026-05-01,2026-05-04T05:25:21Z
Долар США,43.963,USD,2026-05-01,2026-05-02T19:18:38Z
Євро,51.4587,EUR,2026-05-02,2026-05-02T19:18:38Z
Фунт стерлінгів,59.4204,GBP,2026-05-02,2026-05-02T19:18:38Z
Ukrainian Hryvnia,1.0,UAH,2026-05-02,2026-05-04T05:25:21Z
Долар США,43.963,USD,2026-05-02,2026-05-02T19:18:38Z
Євро,51.4587,EUR,2026-05-03,2026-05-04T05:25:22Z
Фунт стерлінгів,59.4204,GBP,2026-05-03,2026-05-04T05:25:22Z
Ukrainian Hryvnia,1.0,UAH,2026-05-03,2026-05-04T05:25:21Z
Долар США,43.963,USD,2026-05-03,2026-05-04T05:25:22Z
Євро,51.5977,EUR,2026-05-04,2026-05-04T05:25:22Z
Фунт стерлінгів,59.7984,GBP,2026-05-04,2026-05-04T05:25:22Z
Ukrainian Hryvnia,1.0,UAH,2026-05-04,2026-05-04T05:25:21Z
Долар США,43.9129,USD,2026-05-04,2026-05-04T05:25:22Z
